STT,Mô hình,Câu hỏi,Câu trả lời đúng,Dự đoán,F1,Loại lỗi,Nguyên nhân,Hướng cải thiện
1,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là chủ tịch tập đoàn Viettel,Lê Đăng Dũng,Thiếu tướng Lê Đăng Dũng,0.75,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
2,B2: XLM-RoBERTa Pretrained (SQuAD2),Bộ trưởng bộ quốc phòng Việt Nam là ai,Ngô Xuân Lịch, Đại tướng Ngô Xuân Lịch,0.75,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
3,B2: XLM-RoBERTa Pretrained (SQuAD2),Con gái của Hồ Việt Trung,Xí Muội," Cô bé tầm 2 , 3 tuổi với cái tên Xí Muội",0.3077,Sai span (gold có trong context),Model chọn sai vùng — context dài hoặc nhiều thực thể tương tự,Cải thiện khả năng hiểu ngữ cảnh của model
4,B2: XLM-RoBERTa Pretrained (SQuAD2),Vị vua nào sau đây đã đổi quốc hiệu nước ta thành Đại Nam?,Minh Mạng, vua Minh Mạng,0.8,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
5,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là chủ tịch tập đoàn SCG,Roongrote Rangsiyopash, ông Roongrote Rangsiyopash,0.8,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
6,B2: XLM-RoBERTa Pretrained (SQuAD2),chủ tịch tập đoàn Viettel là ai,Lê Đăng Dũng, Thiếu tướng Lê Đăng Dũng,0.75,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
7,B2: XLM-RoBERTa Pretrained (SQuAD2),Ai là chủ biên cuốn sách Những dấu vết thời đại đồng thau,"Lê Văn Lan , Phạm Văn Kỉnh , Nguyễn Linh"," Lê Văn Lan , Phạm Văn Kỉnh , Nguyễn Linh 1963",0.9412,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
8,B2: XLM-RoBERTa Pretrained (SQuAD2),Mẹ của Nguyễn Tấn Dũng là ai,Nguyễn Thị Hường, bà Nguyễn Thị Hường,0.8571,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
9,B2: XLM-RoBERTa Pretrained (SQuAD2),Trưởng ban Tuyên giáo Trung ương là ai,Võ Văn Thưởng,Ông Võ Văn Thưởng,0.8571,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
10,B2: XLM-RoBERTa Pretrained (SQuAD2),Nhà thơ được mệnh danh là Nữ hoàng tình yêu?,Xuân Quỳnh, Nữ sĩ Xuân Quỳnh,0.6667,Lỗi biên (span dư),"Model trích xuất dư prefix/suffix (ví dụ: ""Thiếu tướng X"" thay vì ""X"")",Fine-tune thêm trên dữ liệu tiếng Việt để học boundary chính xác hơn
